OBJECTID,FIREEVENT_ID,INCIDENT_NO,INCIDENT_NM,INCIDENT_ID,COUNTY_LABEL_NM,FIRE_TWP_WHOLE_NO,FIRE_TWP_FRACT_NO,FIRE_RGE_WHOLE_NO,FIRE_RGE_FRACT_NO,FIRE_RGE_DIR_FLG,FIRE_SECT_NO,SITE_ELEV,FIREGCAUSE_LABEL_NM,FIRESCAUSE_LABEL_NM,BURNESCAPE_RSN_LABEL_NM,ACRES_BURNED,START_DT,START_TM,DSCVR_DT,DSCVR_TM,CONTROL_DT,CONTROL_TM,FIRE_OUT_DT,FIRE_OUT_TM,BURN_MERCH_AREA,BURN_REPROD_AREA,BURN_NONSTOCK_AREA,FIREEVNT_CLASS_CD,FIREEVNT_CLASS_LABEL_NM,SECTION_SUBDIV_PTS_ID,LAT_COORD,LON_COORD,RES_ORDER_NO,NON_DNR_RES_ORDER_NO,START_OWNER_AGENCY_NM,START_JURISDICTION_AGENCY_NM,SHAPE,PROTECTION_TYPE,REGION_NAME
9461,17579,805,NORTHEAST STAGING,17721,STEVENS,35,0,38,0,E,10,<Null>,Undetermined,None,<Null>,0,7/1/10,800,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,False Alarm,1164314,48.546364,-118.011568,WA-NES-321,<Null>,<Null>,<Null>,Point,DNR Protection FFPA,NORTHEAST
1533,17580,806,HIGHLANDS STAGING,17722,OKANOGAN,31,0,40,0,E,8,<Null>,Undetermined,None,<Null>,0,7/1/10,800,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,False Alarm,610065,48.2013,-117.791395,WA-NES-703,<Null>,<Null>,<Null>,Point,DNR Protection FFPA,NORTHEAST
819,17581,807,SOUTH OKANOGAN STAGING,17723,OKANOGAN,35,0,25,0,E,10,<Null>,Undetermined,None,<Null>,0,7/1/10,800,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,False Alarm,910959,48.547408,-119.679781,WA-NES-842,<Null>,<Null>,<Null>,Point,DNR Protection FFPA,NORTHEAST
3857,17582,808,NORTH COLUMBIA STAGING,17724,STEVENS,35,0,38,0,E,11,<Null>,Undetermined,None,<Null>,0,7/1/10,800,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,False Alarm,231882,48.546496,-117.989939,WA-NES-843,<Null>,<Null>,<Null>,Point,DNR Protection FFPA,NORTHEAST
17339,17583,809,ARCADIA STAGING,17725,SPOKANE,28,0,42,0,E,10,<Null>,Undetermined,None,<Null>,0,7/1/10,800,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,False Alarm,528845,47.939647,-117.487806,WA-NES-306,<Null>,<Null>,<Null>,Point,DNR Protection FFPA,NORTHEAST
17225,13639,868,BUNKERS PILE,13781,SPOKANE,21,0,40,0,E,1,<Null>,Undetermined,None,<Null>,0,7/1/10,1748,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,False Alarm,697440,47.34572,-117.70695,<Null>,<Null>,<Null>,<Null>,Point,DNR Protection FFPA,NORTHEAST
5288,13684,13,Hanson,13826,KLICKITAT,3,0,12,0,E,20,700,Recreation,Other,<Null>,18,7/1/10,1250,7/1/10,1245,7/1/10,1135,7/5/10,1415,<Null>,<Null>,<Null>,1,Classified,1064199,45.73362,-121.3291,WA-SES-223,<Null>,Private,DNR,Point,DNR Protection FFPA,SOUTHEAST
14371,13640,869,RIVERVIEW,13782,STEVENS,28,0,40,0,E,25,<Null>,Undetermined,None,<Null>,0,7/2/10,950,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,3,False Alarm,682956,47.89449,-117.69457,<Null>,<Null>,<Null>,<Null>,Point,DNR Protection FFPA,NORTHEAST
2613,13687,15,Mountain Home,13829,CHELAN,24,0,18,0,E,7,1825,Recreation,Other,<Null>,0.1,7/2/10,1639,7/2/10,1620,7/2/10,1810,7/3/10,1700,0.1,<Null>,<Null>,1,Classified,321034,47.59143,-120.64396,WA-SES-225,<Null>,Private,DNR,Point,DNR Protection FFPA,SOUTHEAST
10326,13686,14,Coffee Can,13828,KLICKITAT,6,0,12,0,E,4,1500,Debris Burn,None,Extinguish,0.01,7/2/10,937,7/2/10,1010,7/2/10,1145,7/5/10,1120,0.01,<Null>,<Null>,1,Classified,487243,46.03575,-121.3102,WA-SES-224,<Null>,DNR,DNR,Point,DNR Protection FFPA,SOUTHEAST
