Incident Name,Incident Number,Classification,Region,County,Final Total Acres,Type of Date,General Cause,Specific Cause,Specific Sub Cause,Date,Time
NO BONAPARTE,884,False Alarm,NORTHEAST,Okanogan County,,Started,Undetermined,None,None,06/09/20,15:06
DOMINION TREE,208,Classified,NORTHEAST,Stevens County,0.1,Started,Lightning,None,None,06/08/20,14:25
DOMINION TREE,208,Classified,NORTHEAST,Stevens County,0.1,First Attack,Lightning,None,None,06/08/20,18:13
FALSE CRYSTAL,883,False Alarm,NORTHEAST,Stevens County,,Started,Undetermined,None,None,06/08/20,20:02
ROCKY CREEK,207,Classified,NORTHEAST,Stevens County,0.01,First Attack,Debris Burning,None,None,06/07/20,9:52
ROCKY CREEK,207,Classified,NORTHEAST,Stevens County,0.01,Started,Debris Burning,None,None,06/06/20,19:00
BURROUGHS,206,Classified,NORTHEAST,Stevens County,0.01,Started,Debris Burning,None,None,06/05/20,15:00
BURROUGHS,206,Classified,NORTHEAST,Stevens County,0.01,First Attack,Debris Burning,None,None,06/05/20,14:57
STRIPED PEAK,2,Classified,OLYMPIC,Clallam County,0.1,Started,Undetermined,None,None,06/05/20,20:29
STRIPED PEAK,2,Classified,OLYMPIC,Clallam County,0.1,First Attack,Undetermined,None,None,06/05/20,21:15
TABLE,817,False Alarm,PACIFIC CASC,Skamania County,,Started,Undetermined,None,None,06/05/20,7:18
BLUE CREEK,881,False Alarm,NORTHEAST,Stevens County,,Started,Undetermined,None,None,06/04/20,9:40
BROWNES,205,Classified,NORTHEAST,Spokane County,0.1,Started,Undetermined,None,None,06/04/20,17:45
BROWNES,205,Classified,NORTHEAST,Spokane County,0.1,First Attack,Undetermined,None,None,06/04/20,18:30
THORPE PIT,204,Classified,NORTHEAST,Spokane County,0.01,Started,Recreation,Camper,Campfire,06/04/20,12:00
THORPE PIT,204,Classified,NORTHEAST,Spokane County,0.01,First Attack,Recreation,Camper,Campfire,06/04/20,12:40
TUNK TREE,882,False Alarm,NORTHEAST,Okanogan County,,Started,Undetermined,None,None,06/04/20,14:53
DENO MISSION,200,Classified,NORTHEAST,Spokane County,0.03,First Attack,Under Investigation,None,None,06/03/20,2:30
FANCHER SPARK,202,Classified,NORTHEAST,Okanogan County,0.1,Started,Under Investigation,None,None,06/03/20,16:00
FANCHER SPARK,202,Classified,NORTHEAST,Okanogan County,0.1,First Attack,Under Investigation,None,None,06/03/20,16:54
FRED,20,Classified,PACIFIC CASC,Cowlitz County,0.1,Started,Under Investigation,None,None,06/03/20,15:18
FRED,20,Classified,PACIFIC CASC,Cowlitz County,0.1,First Attack,Under Investigation,None,None,06/03/20,16:27
HAVILLAH,201,Classified,NORTHEAST,Okanogan County,0.2,Started,Undetermined,None,None,06/03/20,16:35
MIDWAY BRIDGE,203,Classified,NORTHEAST,Ferry County,0.17,First Attack,Lightning,None,None,06/03/20,17:35
OLD NACHES,50,Classified,SOUTHEAST,Yakima County,,Started,Undetermined,None,None,06/03/20,15:51
 COTTONWOOD,880,False Alarm,NORTHEAST,Stevens County,,Started,Undetermined,None,None,06/02/20,16:54
DENO MISSION,200,Classified,NORTHEAST,Spokane County,0.03,Started,Under Investigation,None,None,06/02/20,23:30
CEDONIA TREE,195,Classified,NORTHEAST,Stevens County,0.01,First Attack,Lightning,None,None,06/01/20,9:15
CHILDRENS AVE,23,Classified,NORTHWEST,Island County,0.1,Started,Children,Children 10-18,Incendiary,06/01/20,11:50
