,Agent,Application ID,Burn Priority,Burn Request ID,Est. Permit Tonnage,Forest Health Exempt,Harvest Acres,Ignition Date,Ignition Period,In UGA,Landowner,Multi Day Burn,Permit Number,Post-Burn,Proposed Burn Area,Request Date,Smoke Dispersed,Total Proposed Burn,Unit Name,Lat,Lon,Request Year,Request Month,Burn Decision,Decision Date,Region
0,Ryley Gray,10100,2.0,13461,173.0,,116.0,2019-12-31 08:00:00,60.0,,1 WEYERHAEUSER CASTLE ROCK,,PC20199349,,116.0,2019-12-30 00:00:00,,173.0,5381,46.22662, -122.4697,2019,12,Approved,2019-12-31 00:00:00,PC
1,Ryley Gray,10099,1.0,13462,179.0,,64.0,2019-12-31 08:00:00,120.0,,1 WEYERHAEUSER CASTLE ROCK,,PC20199350,,64.0,2019-12-30 00:00:00,,179.0,6365D,46.20789, -122.4777,2019,12,Approved,2019-12-31 00:00:00,PC
2,Ryley Gray,10098,3.0,13460,169.0,,86.0,2019-12-31 11:00:00,120.0,,1 WEYERHAEUSER CASTLE ROCK,,PC20199351,,86.0,2019-12-30 00:00:00,,169.0,5533,46.18916, -122.4404,2019,12,Approved,2019-12-31 00:00:00,PC
3,Ryley Gray,10093,4.0,13459,298.0,,193.0,2019-12-31 11:00:00,120.0,,1 WEYERHAEUSER CASTLE ROCK,,PC20199355,,193.0,2019-12-30 00:00:00,,298.0,4972,46.24248, -122.5506,2019,12,Approved,2019-12-31 00:00:00,PC
4,Ryley Gray,10092,2.0,13449,791.0,,220.0,2019-12-27 11:00:00,60.0,,1 WEYERHAEUSER CASTLE ROCK,,PC20199356,,220.0,2019-12-26 00:00:00,,791.0,6503,46.07131, -122.5372,2019,12,Approved,2019-12-27 00:00:00,PC
5,Ryley Gray,10078,3.0,13447,217.0,,111.0,2019-12-27 11:00:00,60.0,,1 WEYERHAEUSER CASTLE ROCK,,PC20199364,,111.0,2019-12-26 00:00:00,,217.0,7283E,46.08948, -122.3688,2019,12,Approved,2019-12-27 00:00:00,PC
6,Eric Bieker,9801,,13443,115.0,,250.0,2019-12-20 07:00:00,60.0,,WESTERN PACIFIC TIMBER LLC WESTERN PACIFIC TIMBER LLC,,SE20190048,,125.0,2019-12-19 00:00:00,,60.0,DOWNHILL,45.919161, -120.832648,2019,12,Approved,2019-12-20 00:00:00,SE
7,Eric Bieker,9172,,13422,962.0,,289.0,2019-12-20 07:30:00,240.0,,WESTERN PACIFIC TIMBER LLC WESTERN PACIFIC TIMBER LLC,,SE20190052,,289.0,2019-12-17 00:00:00,,962.0,DOUBLE D,45.947908, -120.811656,2019,12,Approved,2019-12-20 00:00:00,SE
8,Kelly Dougherty,9984,,13524,550.0,,168.4,2019-12-19 08:00:00,240.0,,,,NW20193085,,20.0,2020-01-28 00:00:00,,50.0,Aloha,48.24299, -121.90655,2020,1,Approved,2020-01-28 00:00:00,NW
9,Kelly Dougherty,9971,,13530,385.0,,60.0,2019-12-19 08:00:00,120.0,,,,NW20193084,,20.0,2020-01-28 00:00:00,,100.0,Misery Whip,48.18935, -121.92897,2020,1,Approved,2020-01-28 00:00:00,NW
10,Warren Weston,9367,,13526,147.0,,18.0,2019-12-19 09:00:00,240.0,,Pacific Denkmann Company Pacific Denkmann Company,,NW20191092,,10.0,2020-01-28 00:00:00,,90.0,ARMSTRONG,48.275528, -122.085572,2020,1,Approved,2020-01-28 00:00:00,NW
11,MIKE BLAIS,9337,,13525,241.0,,28.0,2019-12-19 09:00:00,60.0,,FIVE POINT LODGE INC FIVE POINT LODGE INC,,NW20191072,,2.0,2020-01-28 00:00:00,,10.0,FIVE POINT,47.928216, -121.853285,2020,1,Approved,2020-01-28 00:00:00,NW
12,Rick Welle,9593,,13435,181.0,,86.0,2019-12-19 07:00:00,60.0,,POPE RESOURCES LP POPE RESOURCES LP,,SP2019-0097,,86.0,2019-12-18 00:00:00,,181.0,BUCKLEY PIT,47.148538, -121.962666,2019,12,Approved,2019-12-19 00:00:00,SP
13,Kevan Roberts,8974,,13439,127.0,,737.0,2019-12-19 08:00:00,120.0,,Wa Dnr Wa Dnr,,NE20190372,,287.0,2019-12-18 00:00:00,,32.0,WRIGHT FIT PILES,48.431249, -119.701561,2019,12,Approved,2019-12-19 00:00:00,NE
14,Eric Bieker,9038,,13421,1484.0,,458.0,2019-12-19 07:30:00,240.0,,WESTERN PACIFIC TIMBER LLC WESTERN PACIFIC TIMBER LLC,,SE20190050,,364.0,2019-12-17 00:00:00,,1185.0,THUNDER,45.976385, -120.749735,2019,12,Approved,2019-12-19 00:00:00,SE
